20,MGR,General And Operations Managers,,
40,MGR,Advertising And Promotions Managers,,
50,MGR,Marketing And Sales Managers,,
60,MGR,Public Relations And Fundraising Managers,,
100,MGR,Administrative Services Managers,,
110,MGR,Computer And Information Systems Managers,,
120,MGR,Financial Managers,,
135,MGR,Compensation And Benefits Managers,,
136,MGR,Human Resources Managers,,
137,MGR,Training And Development Managers,,
140,MGR,Industrial Production Managers,,
150,MGR,Purchasing Managers,,
160,MGR,"Transportation, Storage, And Distribution Managers",,
205,MGR,"Farmers, Ranchers, And Other Agricultural Managers",,
220,MGR,Construction Managers,,
230,MGR,Education Administrators,,
300,MGR,Architectural And Engineering Managers,,
310,MGR,Food Service Managers,,
330,MGR,Gaming Managers,,
340,MGR,Lodging Managers,,
350,MGR,Medical And Health Services Managers,,
360,MGR,Natural Sciences Managers,,
410,MGR,"Property, Real Estate, And Community Association",,
420,MGR,Social And Community Service Managers,,
425,MGR,Emergency Management Directors,,
430,MGR,"Miscellaneous Managers, Including Funeral Service",,
500,BUS,"Agents And Business Managers Of Artists, Performers,",,
510,BUS,"Buyers And Purchasing Agents, Farm Products",,
520,BUS,"Wholesale And Retail Buyers, Except Farm Products",,
530,BUS,"Purchasing Agents, Except Wholesale, Retail, And Farm",,
540,BUS,"Claims Adjusters, Appraisers, Examiners, And",,
565,BUS,Compliance Officers,,
600,BUS,Cost Estimators,,
630,BUS,Human Resources Workers,,
640,BUS,"Compensation, Benefits, And Job Analysis Specialists",,
650,BUS,Training And Development Specialists,,
700,BUS,Logisticians,,
710,BUS,Management Analysts,,
725,BUS,"Meeting, Convention, And Event Planners",,
726,BUS,Fundraisers,,
735,BUS,Market Research Analysts And Marketing Specialists,,
740,BUS,"Business Operations Specialists, All Other",,
800,FIN,Accountants And Auditors,,
810,FIN,Appraisers And Assessors Of Real Estate,,
820,FIN,Budget Analysts,,
830,FIN,Credit Analysts,,
840,FIN,Financial Analysts,,
850,FIN,Personal Financial Advisors,,
860,FIN,Insurance Underwriters,,
900,FIN,Financial Examiners,,
910,FIN,Credit Counselors And Loan Officers,,
930,FIN,"Tax Examiners And Collectors, And Revenue Agents",,
940,FIN,Tax Preparers,,
950,FIN,"Financial Specialists, All Other",,
1005,CMM,Computer And Information Research Scientists,,
1006,CMM,Computer Systems Analysts,,
1007,CMM,Information Security Analysts,,
1010,CMM,Computer Programmers,,
1020,CMM,"Software Developers, Applications And Systems Software",,
1030,CMM,Web Developers,,
1050,CMM,Computer Support Specialists,,
1060,CMM,Database Administrators,,
1105,CMM,Network And Computer Systems Administrators,,
1106,CMM,Computer Network Architects,,
1107,CMM,"Computer Occupations, All Other",,
1200,CMM,Actuaries,,
1220,CMM,Operations Research Analysts,,
1240,CMM,"Miscellaneous Mathematical Science Occupations,",,
1300,ENG,"Architects, Except Naval",,
1310,ENG,"Surveyors, Cartographers, And Photogrammetrists",,
1320,ENG,Aerospace Engineers,,
1340,ENG,Biomedical And Agricultural Engineers,,
1350,ENG,Chemical Engineers,,
1360,ENG,Civil Engineers,,
1400,ENG,Computer Hardware Engineers,,
1410,ENG,Electrical And Electronics Engineers,,
1420,ENG,Environmental Engineers,,
1430,ENG,"Industrial Engineers, Including Health And Safety",,
1440,ENG,Marine Engineers And Naval Architects,,
1450,ENG,Materials Engineers,,
1460,ENG,Mechanical Engineers,,
1520,ENG,"Petroleum, Mining And Geological Engineers, Including",,
1530,ENG,"Miscellaneous Engineers, Including Nuclear Engineers",,
1540,ENG,Drafters,,
1550,ENG,"Engineering Technicians, Except Drafters",,
